Unnamed: 0,goods_id,goods_name,goods_price,goods_store,goods_commit
41,5225346,联想(Lenovo)YOGA 14s 2021款超轻薄商务办公本 英特尔Evo平台14英寸全面屏笔记本电脑(i5-1135G7 16G 512G 2.8K 90Hz高分高刷高色域屏)灰,6199.0,联想京东自营旗舰店,33万+条评价
42,100007238653,惠普（HP）战66 四代 14英寸轻薄笔记本电脑（英特尔酷睿11代i7 16G 512G MX450  高色域 一年上门+意外）,6599.0,惠普京东自营官方旗舰店,7.9万+条评价
43,40808512828,联想ThinkBook 15 2021款 酷睿版 英特尔酷睿i5 15.6英寸轻薄笔记本(i5-1135G7 16G 512G 高色域),4999.0,ThinkPad京东自营旗舰店,3.6万+条评价
44,1505283937,Apple MacBook Air 13.3 | Core i5 8G 128G SSD 笔记本电脑 轻薄本 银色 MQD32CH/A,5499.0,Apple产品京东自营旗舰店,"去看二手
							26万+条评价"
45,68703765707,联想(Lenovo)天逸510S锐龙版 个人商务台式机电脑整机(RYZEN锐龙5-3500U 8G 1TB HDD WiFi Win10 ) 21.5英寸,2899.0,联想京东自营旗舰店,22万+条评价
46,15358207574,京天 新十代酷睿i7 10700F/RTX2060/16G内存 吃鸡游戏台式电脑主机/DIY组装机,5799.0,京天DIY电脑旗舰店,5000+条评价
47,100016086218,航向者 AMD高频/GTX泰坦6G独显/16G内存台式组装电脑主机DIY组装机全套吃鸡游戏企业办公 电脑主机+显示器 套一 (i5级+120G+高清核显),1099.0,航向者组装电脑旗舰店,6.9万+条评价
48,100007236323,武极 十代i7 10700K/RTX 3070 8G/500G游戏台式吃鸡电脑主机DIY组装机,9188.0,武极电脑DIY旗舰店,1.5万+条评价
49,49475225947,英特尔酷睿i5/i7/八核/8G独显台式机电脑主机整机全套组装家用游戏电竞 主机+24英寸曲面显示器 配置二：i5升860k+4G独显+16G+256G,2299.0,世纪之星电脑整机旗舰店,1.5万+条评价
50,59565348724,"京品电脑	
武极 新i7 10700F/华硕RTX2060/16G内存 吃鸡游戏台式电脑主机DIY组装机",5888.0,武极电脑DIY旗舰店,1.2万+条评价
51,12784088654,联想(Lenovo)小新Air15 2021款高性能轻薄本 英特尔酷睿i5  15.6英寸全面屏笔记本电脑 (i5-1135G7 16G 512G 100%sRGB高色域 MX450独显)银,5999.0,联想京东自营旗舰店,33万+条评价
52,100002194864,"京品电脑	
联想(Lenovo)AIO520C 微边框一体台式机电脑23.8英寸(RYZEN锐龙5-4600U 16G 512G SSD 无线键鼠)黑",3999.0,联想京东自营旗舰店,5.5万+条评价
53,100013273402,长城(Great Wall)四核一体机电脑酷睿I3/I5/高配游戏家用办公台式一体式整机 21.5英寸 四核J1900 8G 128G,1688.0,长城电脑自营旗舰店,3100+条评价
54,100012583448,酷耶 i7四核/GTX1080独显8G水冷吃鸡游戏台式机电脑主机组装整机 电脑主机 套餐一（16G/240G/GTX1070 8G),4099.0,酷耶电脑旗舰店,900+条评价
55,100007329771,酷耶(Cooyes) i5 9400F/GTX1060独显/台式机电脑主机整机全套组装家用游戏电竞 套一：酷睿i5+RX550独显电脑主机,1599.0,酷耶电脑旗舰店,6万+条评价
0,100007329765,惠普(HP)暗影精灵6 英特尔酷睿i7游戏台式电脑主机(十代i7-10700F 16G 256GBSSD+1TB GTX1660Ti 6G独显),6799.0,惠普京东自营官方旗舰店,5.8万+条评价
1,100007250507,联想(Lenovo)小新Pro13 2020锐龙版轻薄本 全面屏办公笔记本电脑(8核R7-4800U 16G 512G 高色域)深空灰,5599.0,联想京东自营旗舰店,20万+条评价
2,100013262922,中柏（Jumper）14英寸6G+64G轻薄笔记本电脑EZbook S5 664,979.0,中柏平板京东自营旗舰店,3500+条评价
